intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,name,filename,md5
7340000,0.04848404782350221,0.9839142091152815,0.04848404782350221,0.0940052361878762,5.723433242506812,BX119912.1 Rhodopirellula baltica SH 1 complete genome,data/refseq-k51.sbt.json,0158c8fed04b7805bd8b6c9b1deb0457
5050000,0.033357553339058064,0.6852103120759837,0.033357553339058064,0.02622569312358746,2.3207920792079206,"BA000019.2 Nostoc sp. PCC 7120 DNA, complete genome",data/refseq-k51.sbt.json,65dee47a2f5d0719c93a0f14398574d4
4230000,0.02794107933152784,0.6008522727272727,0.02794107933152784,0.016312739152811655,1.7234042553191489,"CP000875.1 Herpetosiphon aurantiacus DSM 785, complete genome",data/refseq-k51.sbt.json,d5fb91a1945683fed1128ce3a59570eb
3970000,0.026223660743774357,0.8981900452488688,0.026223660743774357,0.029805992526124998,3.3551637279596975,"AP009153.1 Gemmatimonas aurantiaca T-27 DNA, complete genome",data/refseq-k51.sbt.json,d39f70f284ac206dee2ee61b8a680a8b
3900000,0.025761278816302267,0.9176470588235294,0.025761278816302267,0.031036720445747276,3.556410256410256,"CP001472.1 Acidobacterium capsulatum ATCC 51196, complete genome",data/refseq-k51.sbt.json,25e2ad37d2f90d5d6ed8ec0521b7a059
3900000,0.025761278816302267,0.7014388489208633,0.025761278816302267,0.017834366398890106,2.0435897435897434,"CP000909.1 Chloroflexus aurantiacus J-10-fl, complete genome",data/refseq-k51.sbt.json,8f4d200ad2557c0da2a57913c21c0354
3820000,0.025232842327762732,0.6282894736842105,0.025232842327762732,0.01541766430217727,1.8036649214659686,"AE015928.1 Bacteroides thetaiotaomicron VPI-5482, complete genome",data/refseq-k51.sbt.json,0b4c0b9a93b1998725462732d6b6a016
3730000,0.024638351278155758,0.9348370927318296,0.024638351278155758,0.03813018863702477,4.568364611260054,"CH959317.1 Sulfitobacter sp. NAS-14.1 scf_1099451320472 genomic scaffold, whole genome shotgun sequence",data/refseq-k51.sbt.json,4191f9193be96dbebba5ebaabc75dcf1
3520000,0.02325120549573948,0.8934010152284264,0.02325120549573948,0.02454742777864799,3.116477272727273,"AE017180.2 Geobacter sulfurreducens PCA, complete genome",data/refseq-k51.sbt.json,d1c43766838dfffdefe2cf17d0742d12
3120000,0.02060902305304181,0.5777777777777777,0.02060902305304181,0.010472375752422297,1.5,"AE010299.1 Methanosarcina acetivorans str. C2A, complete genome",data/refseq-k51.sbt.json,130c04e39dcd6f64ce342349a618f397
2950000,0.019486095514895302,0.7819148936170213,0.019420040953827863,0.013940790798630535,2.119047619047619,"CP000568.1 Clostridium thermocellum ATCC 27405, complete genome",data/refseq-k51.sbt.json,e86d3c6a4b0c9de814fbfa3daa2727c0
2850000,0.018825549904220886,0.29811715481171547,0.018825549904220886,0.008212311754570475,1.287719298245614,"CP000270.1 Burkholderia xenovorans LB400 chromosome 1, complete sequence",data/refseq-k51.sbt.json,9fba76eae779837969e53c1a12bb8299
2710000,0.017900786049276703,0.5680851063829787,0.017636567805006935,0.009465416545458615,1.5842696629213484,"CP000139.1 Bacteroides vulgatus ATCC 8482, complete genome",data/refseq-k51.sbt.json,5758dfb836bbcb3b85c39e0c311f9f97
2650000,0.01750445868287205,0.916955017301038,0.01750445868287205,0.017946250755219405,3.026415094339623,"AE017226.1 Treponema denticola ATCC 35405, complete genome",data/refseq-k51.sbt.json,eda635279619432889a351b21eca182d
2590000,0.017108131316467403,0.45121951219512196,0.017108131316467403,0.008637472308621809,1.4903474903474903,"CP000850.1 Salinispora arenicola CNS-205, complete genome",data/refseq-k51.sbt.json,9429201e056e9e0f78ac9d9594289e82
2540000,0.016777858511130193,0.46098003629764067,0.016777858511130193,0.008973125377609702,1.578740157480315,"CP000753.1 Shewanella baltica OS185, complete genome",data/refseq-k51.sbt.json,5193bbbeb41200fddcba5c73b72d712a
2460000,0.01624942202259066,0.9919354838709677,0.01624942202259066,0.029515093199668822,5.361788617886178,"AL954747.1 Nitrosomonas europaea ATCC 19718, complete genome",data/refseq-k51.sbt.json,4e9fac80eccb94d52c41735c7f17c9c3
2430000,0.016051258339388336,0.511578947368421,0.016051258339388336,0.010427622009890577,1.9176954732510287,"CP001013.1 Leptothrix cholodnii SP-6, complete genome",data/refseq-k51.sbt.json,99958f82eb062aa9f897a59bc23daed4
2410000,0.015919149217253452,0.8169491525423729,0.015919149217253452,0.01313522343305959,2.4356846473029043,"CP000492.1 Chlorobium phaeobacteroides DSM 266, complete genome",data/refseq-k51.sbt.json,f5ec9bd01b95902a93de5d39e651fcde
2400000,0.01585309465618601,0.8156996587030717,0.015787040095118568,0.012844324106603414,2.401673640167364,"CP001097.1 Chlorobium limicola DSM 245, complete genome",data/refseq-k51.sbt.json,75b5b97c50eb25ef315ba0145e7829af
2380000,0.015720985534051126,0.7986577181208053,0.015720985534051126,0.011501711830651839,2.1596638655462184,"CP001110.1 Pelodictyon phaeoclathratiforme BU-1, complete genome",data/refseq-k51.sbt.json,6178dd815f5ed22013ded855b879e294
2360000,0.015588876411916242,0.9516129032258065,0.015588876411916242,0.020877620891047013,3.9533898305084745,"AE009441.1 Pyrobaculum aerophilum str. IM2, complete genome",data/refseq-k51.sbt.json,449825dfc00dd545dd542cf64fb8e2f4
2320000,0.015324658167646476,0.9830508474576272,0.015324658167646476,0.023898498511938062,4.603448275862069,"BA000023.2 Sulfolobus tokodaii str. 7 DNA, complete genome",data/refseq-k51.sbt.json,64e08a1da6c7d74ab216a4f24dcaf0f1
2310000,0.015258603606579034,0.843065693430657,0.015258603606579034,0.013403745888249904,2.593073593073593,"CP000679.1 Caldicellulosiruptor saccharolyticus DSM 8903, complete genome",data/refseq-k51.sbt.json,8a39d9b0f544b9aa90583e654e97d595
2220000,0.014664112556972059,0.41729323308270677,0.014664112556972059,0.007339613775201951,1.4774774774774775,"BX470250.1 Bordetella bronchiseptica strain RB50, complete genome",data/refseq-k51.sbt.json,82eba9377078e6eea9c13f6549a3ac73
2180000,0.014399894312702293,0.9819819819819819,0.014399894312702293,0.02844100337890756,5.830275229357798,"AE000782.1 Archaeoglobus fulgidus DSM 4304, complete genome",data/refseq-k51.sbt.json,9bcc5cba17f4967cb8572ea224bab06a
3260000,0.021533786907985998,0.6173913043478261,0.014069621507365083,0.017409205844838776,3.652582159624413,"CH959311.1 Sulfitobacter sp. EE-36 scf_1099451318005 genomic scaffold, whole genome shotgun sequence",data/refseq-k51.sbt.json,983ab832c0b8b08052d921392c00ec71
