#FILE,SEQUENCE,START,END,GENE,COVERAGE,COVERAGE_MAP,GAPS,%COVERAGE,%IDENTITY,DATABASE,ACCESSION
/tmp/SRR606249_subset10_trim2.metaspades.contigs.fa,NODE_101341_length_354_cov_1.692308,1,354,mexI,872-1225/3091,....==.........,0/0,11.45,77.401,card,NC_002516:4707534-4710624
/tmp/SRR606249_subset10_trim2.metaspades.contigs.fa,NODE_102_length_54762_cov_4.072185,54410,54661,aminocoumarin_resistant_alaS,97-348/2631,==.............,0/0,9.58,76.587,card,NC_000913.3:2819380-2822011
/tmp/SRR606249_subset10_trim2.metaspades.contigs.fa,NODE_105451_length_342_cov_2.435540,1,280,Streptomyces_cinnamoneus_EF-Tu_mutants_conferring_resistance_to_elfamycin,2-287/1194,====..../......,3/10,23.28,77.083,card,X98831.1:361-1555
/tmp/SRR606249_subset10_trim2.metaspades.contigs.fa,NODE_1146_length_10655_cov_5.346981,47,166,OXA-368,1977-2095/2721,......../..=...,3/3,4.34,82.645,card,KT736121.1:1-2721
/tmp/SRR606249_subset10_trim2.metaspades.contigs.fa,NODE_114987_length_318_cov_1.916350,188,316,carA,562-690/1656,....==../......,2/4,7.67,77.863,card,M80346:1-1656
/tmp/SRR606249_subset10_trim2.metaspades.contigs.fa,NODE_116629_length_314_cov_2.617761,3,306,Streptomyces_cinnamoneus_EF-Tu_mutants_conferring_resistance_to_elfamycin,7-317/1194,====..../......,4/7,25.46,77.492,card,X98831.1:361-1555
/tmp/SRR606249_subset10_trim2.metaspades.contigs.fa,NODE_119671_length_308_cov_0.909091,1,252,aminocoumarin_resistant_alaS,367-618/2631,.===..../......,2/2,9.54,78.261,card,NC_000913.3:2819380-2822011
/tmp/SRR606249_subset10_trim2.metaspades.contigs.fa,NODE_123324_length_299_cov_2.639344,6,295,Streptomyces_cinnamoneus_EF-Tu_mutants_conferring_resistance_to_elfamycin,448-737/1194,.....===/=.....,2/6,24.04,78.840,card,X98831.1:361-1555
/tmp/SRR606249_subset10_trim2.metaspades.contigs.fa,NODE_124123_length_298_cov_1.308642,10,295,ceoB,1387-1672/3085,......==/......,2/2,9.24,78.746,card,U97042:1263-4347
/tmp/SRR606249_subset10_trim2.metaspades.contigs.fa,NODE_124337_length_297_cov_2.280992,152,295,mdtB,2926-3069/3124,..............=,0/0,4.61,79.167,card,U00096:2155262-2158385
/tmp/SRR606249_subset10_trim2.metaspades.contigs.fa,NODE_12540_length_1682_cov_1.352797,3,532,vatB,1-530/639,========/====..,2/4,82.63,76.880,card,U19459:66-705
/tmp/SRR606249_subset10_trim2.metaspades.contigs.fa,NODE_126739_length_292_cov_3.286920,16,292,Streptomyces_cinnamoneus_EF-Tu_mutants_conferring_resistance_to_elfamycin,215-491/1194,..=====........,0/0,23.20,79.061,card,X98831.1:361-1555
/tmp/SRR606249_subset10_trim2.metaspades.contigs.fa,NODE_126937_length_292_cov_1.523207,1,236,Bifidobacteria_intrinsic_ileS_conferring_resistance_to_mupirocin,1309-1544/3324,.....==........,0/0,7.10,79.661,card,NC_014638:1610636-1613960
/tmp/SRR606249_subset10_trim2.metaspades.contigs.fa,NODE_133814_length_278_cov_1.650224,1,278,lsaA,394-671/1498,...====........,0/0,18.56,100.000,card,AY587982:309-1806
/tmp/SRR606249_subset10_trim2.metaspades.contigs.fa,NODE_135091_length_276_cov_1.040724,28,275,mdtB,187-434/3124,===............,0/0,7.94,75.403,card,U00096:2155262-2158385
/tmp/SRR606249_subset10_trim2.metaspades.contigs.fa,NODE_139870_length_267_cov_1.231132,2,267,aminocoumarin_resistant_alaS,214-485/2631,.==...../......,1/6,10.11,76.838,card,NC_000913.3:2819380-2822011
/tmp/SRR606249_subset10_trim2.metaspades.contigs.fa,NODE_141478_length_264_cov_1.234450,1,264,mexD,1206-1469/3133,.....===.......,0/0,8.43,79.924,card,U57969:1485-4617
/tmp/SRR606249_subset10_trim2.metaspades.contigs.fa,NODE_141478_length_264_cov_1.234450,1,258,amrB,1685-1942/3139,........==.....,0/0,8.22,80.233,card,NC_002516:2208168-2211306
/tmp/SRR606249_subset10_trim2.metaspades.contigs.fa,NODE_143490_length_260_cov_1.570732,3,255,ceoB,22-274/3085,==.............,0/0,8.20,78.656,card,U97042:1263-4347
/tmp/SRR606249_subset10_trim2.metaspades.contigs.fa,NODE_143490_length_260_cov_1.570732,87,244,adeG,2918-3075/3181,.............==,0/0,4.97,79.114,card,NC_010400:1365938-1369118
/tmp/SRR606249_subset10_trim2.metaspades.contigs.fa,NODE_143938_length_259_cov_1.872549,1,259,ceoB,2648-2906/3085,............===,0/0,8.40,86.486,card,U97042:1263-4347
/tmp/SRR606249_subset10_trim2.metaspades.contigs.fa,NODE_144280_length_259_cov_1.112745,2,243,mdtB,46-287/3124,==.............,0/0,7.75,76.446,card,U00096:2155262-2158385
