intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,name,filename,md5
6600000,0.0327413433872408,1.0,0.0327413433872408,0.08602547535536274,11.296969696969697,BX119912.1 Rhodopirellula baltica SH 1 complete genome,data/refseq-k21.sbt.json,7f160cdfaaa1bd3cb9345dde78061521
5730000,0.028425439031649964,0.834061135371179,0.028425439031649964,0.020629499723093962,3.1204188481675392,"BA000019.2 Nostoc sp. PCC 7120 DNA, complete genome",data/refseq-k21.sbt.json,49dcc05178ac72326de9646578f376e3
5400000,0.026788371862287927,0.8011869436201781,0.026788371862287927,0.014283736385453202,2.2925925925925927,"CP000875.1 Herpetosiphon aurantiacus DSM 785, complete genome",data/refseq-k21.sbt.json,83bd36beaea8594fb28d3e4e44fe563f
5150000,0.025548169461256078,0.8415032679738562,0.025548169461256078,0.014214509876315303,2.392233009708738,"AE015928.1 Bacteroides thetaiotaomicron VPI-5482, complete genome",data/refseq-k21.sbt.json,12cd55e54f72933ac8eb37ca369663bd
5000000,0.024804048020636967,0.998003992015968,0.024804048020636967,0.04010522429388961,6.952,"AP009153.1 Gemmatimonas aurantiaca T-27 DNA, complete genome",data/refseq-k21.sbt.json,c35c32df9d43c14ed9f81e35f2331e06
4730000,0.02346462942752257,0.5021231422505308,0.02346462942752257,0.008987908436403914,1.6469344608879493,"CP000270.1 Burkholderia xenovorans LB400 chromosome 1, complete sequence",data/refseq-k21.sbt.json,c7a74b6e204c56a29a67582e3003c4d5
4360000,0.021629129873995435,0.9064449064449065,0.021629129873995435,0.015610577810596271,3.103211009174312,"CP001364.1 Chloroflexus sp. Y-400-fl, complete genome",data/refseq-k21.sbt.json,c63bdc8ad8823143c2bb0fc05536cdd9
4080000,0.020240103184839767,0.9927007299270073,0.020240103184839767,0.03013660697803212,6.401960784313726,"CP001472.1 Acidobacterium capsulatum ATCC 51196, complete genome",data/refseq-k21.sbt.json,4eef1714ac63252d3b183be5fa37ea57
3970000,0.019694414128385754,0.7271062271062271,0.019694414128385754,0.011410836256230386,2.491183879093199,"CP000850.1 Salinispora arenicola CNS-205, complete genome",data/refseq-k21.sbt.json,181a22864d94d8556d60def06b382102
3940000,0.01954558984026193,0.9974619289340102,0.019495981744220656,0.04665866715894407,10.290076335877863,"CH959317.1 Sulfitobacter sp. NAS-14.1 scf_1099451320472 genomic scaffold, whole genome shotgun sequence",data/refseq-k21.sbt.json,6ccfc2298d432314844cae985cabcff6
3840000,0.01904950887984919,0.987146529562982,0.01904950887984919,0.027298320103378255,6.161458333333333,"AE017180.2 Geobacter sulfurreducens PCA, complete genome",data/refseq-k21.sbt.json,4176760dfc22f8fbbba7f7c3326a3c22
3810000,0.01890068459172537,0.7188679245283018,0.01890068459172537,0.009668635776259923,2.199475065616798,"AE010299.1 Methanosarcina acetivorans str. C2A, complete genome",data/refseq-k21.sbt.json,39e441c33cf5bedcec5b037b488c5e64
3800000,0.018851076495684096,0.7879417879417879,0.01880146839964282,0.011595440280598116,2.6517150395778364,"CP001013.1 Leptothrix cholodnii SP-6, complete genome",data/refseq-k21.sbt.json,f188ff71ae3136724482c773d544436a
